
b'2018-11-24T20:35:44.280000Z 4155.07\n'
b'2018-11-24T20:35:45.785000Z 4155.06\n'
b'2018-11-24T20:35:45.785000Z 4155.03\n'
b'2018-11-24T20:35:48.841000Z 4155.05\n'
b'2018-11-24T20:35:50.312000Z 4155.05\n'
b'2018-11-24T20:35:51.434000Z 4155.05\n'
b'2018-11-24T20:35:53.545000Z 4155.05\n'
b'2018-11-24T20:35:58.468000Z 4155.04\n'
b'2018-11-24T20:36:02.743000Z 4155.04\n'
b'2018-11-24T20:36:03.675000Z 4155.03\n'
b'2018-11-24T20:36:04.630000Z 4155.04\n'
b'2018-11-24T20:36:06.053000Z 4155.04\n'
b'2018-11-24T20:36:07.096000Z 4155.04\n'
b'2018-11-24T20:36:10.543000Z 4155.03\n'
b'2018-11-24T20:36:11.024000Z 4155.04\n'
b'2018-11-24T20:36:13.132000Z 4155.04\n'
b'2018-11-24T20:36:14.963000Z 4155.04\n'
b'2018-11-24T20:36:17.233000Z 4155.06\n'
b'2018-11-24T20:36:19.102000Z 4155.04\n'
b'2018-11-24T20:36:19.102000Z 4155.04\n'
b'2018-11-24T20:36:19.471000Z 4155.04\n'
b'2018-11-24T20:36:19.471000Z 4155.03\n'
b'2018-11-24T20:36:22.827000Z 4155.04\n'
b'2018-11-24T20:36:24.166000Z 4155.04\n'
b'2018-11-24T20:36:27.132000Z 4155.04\n'
b'2018-11-24T20:36:27.134000Z 4155.04\n'
b'2018-11-24T20:36:28.284000Z 4155.03\n'
b'2018-11-24T20:36:28.301000Z 4155.03\n'
b'2018-11-24T20:36:28.354000Z 4155.03\n'
b'2018-11-24T20:36:28.419000Z 4155.03\n'
b'2018-11-24T20:36:28.484000Z 4155.03\n'
b'2018-11-24T20:36:28.620000Z 4155.03\n'
b'2018-11-24T20:36:28.680000Z 4155.0\n'
b'2018-11-24T20:36:28.741000Z 4154.63\n'
b'2018-11-24T20:36:28.853000Z 4154.58\n'
b'2018-11-24T20:36:29.393000Z 4154.59\n'
b'2018-11-24T20:36:34.976000Z 4154.59\n'
b'2018-11-24T20:36:40.763000Z 4154.59\n'
b'2018-11-24T20:36:42.158000Z 4150.0\n'
b'2018-11-24T20:36:42.158000Z 4148.95\n'
b'2018-11-24T20:36:46.789000Z 4152.55\n'
